Date,Mkt-RF,SMB,HML,RMW,CMA,RF
199506,    2.72,    3.06,   -2.54,   -0.33,   -2.44,    0.47
199507,    3.72,    2.09,   -1.62,    0.30,   -1.65,    0.45
199508,    0.55,    1.75,    2.79,   -1.24,    1.62,    0.47
199509,    3.35,   -1.88,   -0.04,    1.03,    0.36,    0.43
199510,   -1.52,   -4.04,   -0.50,    1.91,   -0.05,    0.47
199511,    3.96,   -1.07,    0.51,   -0.62,    1.12,    0.42
199512,    1.03,    0.72,    0.22,   -1.37,    3.10,    0.49
199601,    2.26,   -2.56,    0.38,    0.18,    2.31,    0.43
199602,    1.33,    1.77,   -1.08,    0.24,   -1.90,    0.39
199603,    0.73,    1.61,    0.35,    1.42,   -0.95,    0.39
